x,y
77.23,271.69
79.8,279.4
72.07,256.21
68.54,245.62
83.81,291.43
85.64,296.92
76.45,269.35
84.98,294.94
65.01,235.03
78.23,274.69
80.13,280.39
14.69,84.07
15.27,85.81
42.63,167.89
49.53,188.59
46.79,180.37
74.02,262.06
68.93,246.79
29.07,127.21
22.66,107.98
13.55,80.65
24.42,113.26
69.63,248.89
68.2,244.6
13.52,80.56
98.18,334.54
96.84,330.52
15.31,85.93
81.15,283.45
7.24,61.72
92.34,317.02
7.59,62.77
86.8,300.4
94.64,323.92
55.48,206.44
94.96,324.88
27.86,123.58
58.08,214.24
66.77,240.31
74.02,262.06
0.44,41.32
24.84,114.52
36.74,150.22
6.16,58.48
8.67,66.01
62.84,228.52
91.14,313.42
38.19,154.57
38.61,155.83
4.54,53.62
7.66,62.98
90.28,310.84
66.28,238.84
14.97,84.91
99.09,337.27
4.32,52.96
28.45,125.35
51.71,195.13
72.04,256.12
92.3,316.9
43.08,169.24
68.79,246.37
21.91,105.73
0.87,42.61
37.19,151.57
34.04,142.12
31.02,133.06
44.61,173.83
14.38,83.14
65.07,235.21
25.28,115.84
57.93,213.79
63.7,231.1
61.95,225.85
25.1,115.3
7.3,61.9
27.96,123.88
56.46,209.38
64.09,232.27
84.8,294.4
82.47,287.41
65.74,237.22
2.2,46.6
79.73,279.19
99.84,339.52
75.87,267.61
99.03,337.09
1.04,43.12
90.77,312.31
44.44,173.32
53.09,199.27
29.2,127.6
8.14,64.42
75.4,266.2
0.36,41.08
44.53,173.59
17.21,91.63
82.1,286.3
10.85,72.55
11.03,73.09
43.62,170.86
4.17,52.51
42.83,168.49
94.99,324.97
38.27,154.81
8.92,66.76
5.91,57.73
72.11,256.33
21.67,105.01
73.32,259.96
89.72,309.16
21.43,104.29
38.87,156.61
57.55,212.65
95.32,325.96
50.51,191.53
40.26,160.78
1.42,44.26
88.47,305.41
60.4,221.2
23.16,109.48
31.47,134.41
24.66,113.98
15.71,87.13
53.25,199.75
25.62,116.86
65.53,236.59
20.46,101.38
17.91,93.73
58.56,215.68
72.98,258.94
41.63,164.89
52.35,197.05
42.7,168.1
18.82,96.46
82.37,287.11
50.63,191.89
26.69,120.07
38.28,154.84
79.5,278.5
91.93,315.79
27.69,123.07
27.88,123.64
7.5,62.5
53.18,199.54
42.09,166.27
12.12,76.36
55.74,207.22
12.73,78.19
47.39,182.17
66.37,239.11
11.89,75.67
25.5,116.5
60.54,221.62
25.38,116.14
51.7,195.1
78.77,276.31
54.8,204.4
67.44,242.32
21.41,104.23
87.89,303.67
30.29,130.87
4.13,52.39
73.32,259.96
30.56,131.68
13.64,80.92
46.86,180.58
43.94,171.82
84.97,294.91
32.25,136.75
51.04,193.12
7.29,61.87
65.26,235.78
17.88,93.64
23.29,109.87
10.81,72.43
2.63,47.89
80.69,282.07
51.33,193.99
87.47,302.41
55.04,205.12
88.24,304.72
55.56,206.68
99.68,339.04
94.33,322.99
32.96,138.88
60.91,222.73
22.09,106.27
25.3,115.9
96.33,328.99
77.88,273.64
8.5,65.5
78.23,274.69
69.41,248.23
30.54,131.62
46.23,178.69
89.37,308.11
29.83,129.49
71.53,254.59
94.35,323.05
45.41,176.23
51.08,193.24
39.44,158.32
82.63,287.89
22.72,108.16
34.75,144.25
23.32,109.96
59.84,219.52
21.32,103.96
95.18,325.54
2.38,47.14
96.41,329.23
31.43,134.29
99.53,338.59
73.88,261.64
80.01,280.03
79.83,279.49
2.96,48.88
25.73,117.19
79.91,279.73
55.94,207.82
73.29,259.87
80.19,280.57
94.29,322.87
51.57,194.71
49.58,188.74
24.75,114.25
7,61
70.5,251.5
17.67,93.01
37.63,152.89
26.82,120.46
79.86,279.58
10.04,70.12
71.33,253.99
64.98,234.94
32.35,137.05
64.04,232.12
45.95,177.85
94.6,323.8
98.9,336.7
40.96,162.88
73.5,260.5
25.03,115.09
52.53,197.59
48.42,185.26
87.03,301.09
36.3,148.9
79.61,278.83
20.66,101.98
62.61,227.83
2.9,48.7
98.68,336.04
6.96,60.88
39.79,159.37
79.05,277.15
52.58,197.74
80.68,282.04
59.72,219.16
16.1,88.3
34.04,142.12
34.17,142.51
19.48,98.44
75.91,267.73
11.1,73.3
77.63,272.89
36.73,150.19
75.41,266.23
23.88,111.64
52.25,196.75
85.09,295.27
87.95,303.85
92.24,316.72
43.9,171.7
1.94,45.82
43.01,169.03
65.13,235.39
3.01,49.03
22.24,106.72
29.85,129.55
16.25,88.75
43.43,170.29
52.04,196.12
2.45,47.35
52.39,197.17
56.02,208.06
96.73,330.19
80.39,281.17
75.89,267.67
83.85,291.55
85.2,295.6
7.88,63.64
80.19,280.57
85.45,296.35
39.31,157.93
46.99,180.97
8.61,65.83
75.77,267.31
9.79,69.37
58.14,214.42
95.44,326.32
88.45,305.35
55.43,206.29
33.69,141.07
6.82,60.46
10.68,72.04
76.72,270.16
61.42,224.26
74.44,263.32
65.51,236.53
64.69,234.07
52.46,197.38
67.71,243.13
96.16,328.48
25.98,117.94
69.79,249.37
80.36,281.08
46.84,180.52
75.33,265.99
27.97,123.91
79.32,277.96
89.43,308.29
63.62,230.86
64.08,232.24
31.31,133.93
47.85,183.55
31.41,134.23
90.41,311.23
19.09,97.27
85.48,296.44
9.35,68.05
78.32,274.96
40.27,160.81
54.85,204.55
36.07,148.21
76.15,268.45
49.07,187.21
38.9,156.7
70.96,252.88
39.03,157.09
33.72,141.16
66.39,239.17
44.04,172.12
33.14,139.42
2.73,48.19
26.45,119.35
37.03,151.09
54,202
63.59,230.77
16.03,88.09
0.31,40.93
25.76,117.28
98.95,336.85
78.4,275.2
40.62,161.86
64.81,234.43
97.67,333.01
25.9,117.7
2.96,48.88
22.47,107.41
92.01,316.03
95.45,326.35
48.19,184.57
7.76,63.28
7.21,61.63
61,223
2.23,46.69
5.47,56.41
71.36,254.08
68.3,244.9
65.41,236.23
45.47,176.41
41.21,163.63
43.77,171.31
91.86,315.58
21.43,104.29
10.75,72.25
70.8,252.4
87.62,302.86
37.35,152.05
75.73,267.19
89.33,307.99
15.56,86.68
37.29,151.87
22.13,106.39
89.49,308.47
50.07,190.21
65.22,235.66
63.93,231.79
94.46,323.38
38.82,156.46
74.84,264.52
54.08,202.24
62.5,227.5
77.25,271.75
16.46,89.38
73.45,260.35
70.4,251.2
94.44,323.32
97.97,333.91
33.23,139.69
81.72,285.16
4.7,54.1
74.68,264.04
72.68,258.04
8.87,66.61
94.28,322.84
27.16,121.48
43.16,169.48
53.48,200.44
51.57,194.71
75.99,267.97
94.41,323.23
72.17,256.51
71.46,254.38
42.4,167.2
40.17,160.51
27.88,123.64
49.06,187.18
14.86,84.58
73.36,260.08
57.78,213.34
84.53,293.59
38.27,154.81
12.74,78.22
14.22,82.66
65.98,237.94
63.38,230.14
37.68,153.04
76.78,270.34
75.28,265.84
69.72,249.16
5.52,56.56
74.35,263.05
59.99,219.97
65.64,236.92
60.07,220.21
34.7,144.1
4.61,53.83
71.23,253.69
57.74,213.22
4.23,52.69
5.29,55.87
25.21,115.63
56.3,208.9
57.39,212.17
85.46,296.38
85.1,295.3
85.89,297.67
11.25,73.75
8.29,64.87
79.22,277.66
59.96,219.88
97.19,331.57
59.92,219.76
7.36,62.08
85.64,296.92
10.47,71.41
70.35,251.05
6.02,58.06
73.95,261.85
81.88,285.64
42.93,168.79
