x,y
77.23,145.8466
79.8,149.496
72.07,138.5194
68.54,133.5068
83.81,155.1902
85.64,157.7888
76.45,144.739
84.98,156.8516
65.01,128.4942
78.23,147.2666
80.13,149.9646
14.69,57.0398
15.27,57.8634
42.63,96.7146
49.53,106.5126
46.79,102.6218
74.02,141.2884
68.93,134.0606
29.07,77.4594
22.66,68.3572
13.55,55.421
24.42,70.8564
69.63,135.0546
68.2,133.024
13.52,55.3784
98.18,175.5956
96.84,173.6928
15.31,57.9202
81.15,151.413
7.24,46.4608
92.34,167.3028
7.59,46.9578
86.8,159.436
94.64,170.5688
55.48,114.9616
94.96,171.0232
27.86,75.7412
58.08,118.6536
66.77,130.9934
74.02,141.2884
0.44,36.8048
24.84,71.4528
36.74,88.3508
6.16,44.9272
8.67,48.4914
62.84,125.4128
91.14,165.5988
38.19,90.4098
38.61,91.0062
4.54,42.6268
7.66,47.0572
90.28,164.3776
66.28,130.2976
14.97,57.4374
99.09,176.8878
4.32,42.3144
28.45,76.579
51.71,109.6082
72.04,138.4768
92.3,167.246
43.08,97.3536
68.79,133.8618
21.91,67.2922
0.87,37.4154
37.19,88.9898
34.04,84.5168
31.02,80.2284
44.61,99.5262
14.38,56.5996
65.07,128.5794
25.28,72.0776
57.93,118.4406
63.7,126.634
61.95,124.149
25.1,71.822
7.3,46.546
27.96,75.8832
56.46,116.3532
64.09,127.1878
84.8,156.596
82.47,153.2874
65.74,129.5308
2.2,39.304
79.73,149.3966
99.84,177.9528
75.87,143.9154
99.03,176.8026
1.04,37.6568
90.77,165.0734
44.44,99.2848
53.09,111.5678
29.2,77.644
8.14,47.7388
75.4,143.248
0.36,36.6912
44.53,99.4126
17.21,60.6182
82.1,152.762
10.85,51.587
11.03,51.8426
43.62,98.1204
4.17,42.1014
42.83,96.9986
94.99,171.0658
38.27,90.5234
8.92,48.8464
5.91,44.5722
72.11,138.5762
21.67,66.9514
73.32,140.2944
89.72,163.5824
21.43,66.6106
38.87,91.3754
57.55,117.901
95.32,171.5344
50.51,107.9042
40.26,93.3492
1.42,38.1964
88.47,161.8074
60.4,121.948
23.16,69.0672
31.47,80.8674
24.66,71.1972
15.71,58.4882
53.25,111.795
25.62,72.5604
65.53,129.2326
20.46,65.2332
17.91,61.6122
58.56,119.3352
72.98,139.8116
41.63,95.2946
52.35,110.517
42.7,96.814
18.82,62.9044
82.37,153.1454
50.63,108.0746
26.69,74.0798
38.28,90.5376
79.5,149.07
91.93,166.7206
27.69,75.4998
27.88,75.7696
7.5,46.83
53.18,111.6956
42.09,95.9478
12.12,53.3904
55.74,115.3308
12.73,54.2566
47.39,103.4738
66.37,130.4254
11.89,53.0638
25.5,72.39
60.54,122.1468
25.38,72.2196
51.7,109.594
78.77,148.0334
54.8,113.996
67.44,131.9448
21.41,66.5822
87.89,160.9838
30.29,79.1918
4.13,42.0446
73.32,140.2944
30.56,79.5752
13.64,55.5488
46.86,102.7212
43.94,98.5748
84.97,156.8374
32.25,81.975
51.04,108.6568
7.29,46.5318
65.26,128.8492
17.88,61.5696
23.29,69.2518
10.81,51.5302
2.63,39.9146
80.69,150.7598
51.33,109.0686
87.47,160.3874
55.04,114.3368
88.24,161.4808
55.56,115.0752
99.68,177.7256
94.33,170.1286
32.96,82.9832
60.91,122.6722
22.09,67.5478
25.3,72.106
96.33,172.9686
77.88,146.7696
8.5,48.25
78.23,147.2666
69.41,134.7422
30.54,79.5468
46.23,101.8266
89.37,163.0854
29.83,78.5386
71.53,137.7526
94.35,170.157
